session_id,source_video,source_hash,file_size,duration_ms,width,height,fps,audio_present,comment_area_visible,decode_status,analysis_status
latest_live_01,Record_2026-07-20-10-26-37_2332cb9b27b851b548ba47a91682926c.mp4,6cefb72c5ef1d7fc3037fb2950f6a5d3c4b8159a9fc56a99d6f2896838b6ff03,6134043031,5935437,720,1600,44.125,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_02,Record_2026-07-21-10-28-42_2332cb9b27b851b548ba47a91682926c.mp4,294b676c4f3e260c8b840822b6ea066c264c5d5904969bf35aece19baa0f2873,5959934160,5811052,720,1600,44.281,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_03,ScreenRecording_07-18-2026 10-41-09_1.MP4,88a22e46429c847c7c46e3905cdc0cd243c1f3929d19d6be3671c2505987d290,4726428221,2498846,1320,2868,56.462,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_04,ScreenRecording_07-18-2026 11-27-55_1.MP4,8d683cf0869704bae7aa5cf3943c2dc42614fa8428e79ecc79cc007d91248a33,3012632968,1592563,1320,2868,59.992,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_05,ScreenRecording_07-19-2026 10-44-37_1.MP4,d39b575bf48580a19fe307c1a8c2a08eaa722c75f0e01f53c5b3e58dd6a433f8,3667443547,1942112,1320,2868,59.994,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_06,ScreenRecording_07-19-2026 11-17-44_1.MP4,ed0948e00557ac6460e9308a798aa7713e30626657ddb1c62296bf9fc339f82f,6433753529,3399419,1320,2868,59.982,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_07,SVID_20260721_103042_1.mp4,f0641ca45fb89b10ba26fef925766a21b7815d399bb7f5c7b02027b0b446bba9,1792794624,5700437,578,1280,59.611,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_08,SVID_20260722_104105_1.mp4,756bc744100073a07b3c0a588dd56be61c72e89177d76e45593ea225b1467b61,3223689916,3936201,576,1280,31.817,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_09,SVID_20260722_104105_2.mp4,6b6bbe102ca1291f84065cbccb969b37dc0ff02c841167b1e725f0538ee258b9,1641789334,2278934,576,1280,30.766,yes,yes,decode_metadata_readable,completed_pending_5_6_review
latest_live_10,SVID_20260722_104154_1.mp4,9cb1bdbfb34204d5673cddd7c8ec1972bacee0609098dcca23faf828c1c50bcf,1761020121,6471943,578,1280,59.353,yes,yes,decode_metadata_readable,completed_pending_5_6_review
